epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,730.824,0.0108,1.54106,0.91602,0.58043,0.2174,0.23187,0.1312,0.01042,1.43416,0.90612,0.0683484,0.00166587,0.00166587
2,1427.56,0.01038,1.36123,0.90059,0.60302,0.26164,0.29516,0.17996,0.00963,1.20792,0.85758,0.0363667,0.00301749,0.00301749
3,2117.36,0.00971,1.1859,0.85255,0.60853,0.29071,0.34646,0.21748,0.00907,1.0537,0.81118,0.00330518,0.00328929,0.00328929
4,2802.69,0.00905,1.05085,0.81689,0.70225,0.35578,0.39905,0.25983,0.00851,0.91865,0.77162,0.00176018,0.00176018,0.00176018
5,3487.48,0.00848,0.93744,0.78471,0.67923,0.39689,0.41931,0.27146,0.00813,0.83793,0.74973,0.000522683,0.000522683,0.000522683
